Fin-stmt_Etat-consolide_eng,Fin-stmt_Etat-consolide_fra,Section-lvl1_niv1_eng,Section-lvl1_niv1_fra,Section-lvl2_niv2_eng,Section-lvl2_niv2_fra,Section-lvl3_niv3_eng,Section-lvl3_niv3_fra,Section-lvl4_niv4_eng,Section-lvl4_niv4_fra,Type-detail_eng,Type-detail_fra,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,Amt-units_Mnt-unite
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Financial assets,Actifs financiers,Cash and accounts receivable,Trésorerie et créances,Other accounts receivable,Autres créances,,,,,10139,10316,14380,11845,15375,18072,11642,13532,13999,13628,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Financial assets,Actifs financiers,Foreign exchange accounts,Comptes d’opérations de change actifs,International reserves held in the Exchange Fund Account,Réserves de liquidités internationales détenues dans le Compte du fonds des changes,,,,,101379,106668,105430,107200,112017,97589,127099,148866,159415,177591,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Financial assets,Actifs financiers,Foreign exchange accounts,Comptes d’opérations de change actifs,International Monetary Fund—Subscriptions,Fonds monétaire international - Souscriptions,,,,,20170,19892,20647,20449,21178,19633,19052,20043,19757,21070,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Financial assets,Actifs financiers,Foreign exchange accounts,Comptes d’opérations de change actifs,International Monetary Fund—Loans,Fonds monétaire international - Prêts,,,,,1278,1125,775,546,368,197,132,67,0,0,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Financial assets,Actifs financiers,Foreign exchange accounts,Comptes d’opérations de change actifs,International Monetary Fund—Poverty Reduction and Growth Trust,Fonds monétaire international - Fonds fiduciaire pour la réduction de la pauvreté et pour la croissance,,,,,0,0,0,0,0,0,0,0,494,1911,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Financial assets,Actifs financiers,Foreign exchange accounts,Comptes d’opérations de change actifs,International Monetary Fund—Resilience and Sustainability Trust,Fonds monétaire international - Fonds fiduciaire pour la résilience et la durabilité,,,,,0,0,0,0,0,0,0,414,474,790,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Financial assets,Actifs financiers,Derivatives,Dérivés,,,,,,,764,1649,979,1052,810,3067,4974,3260,2928,1752,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Financial assets,Actifs financiers,"Loans, investments and advances","Prêts, placements et avances",Enterprise Crown corporations and other government business enterprises,Sociétés d'État entreprises et autres entreprises publiques,,,,,91116,99427,100775,108169,125108,119994,143717,151051,165344,227356,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Financial assets,Actifs financiers,"Loans, investments and advances","Prêts, placements et avances","Other loans, investments and advances","Autres prêts, placements et avances",,,,,24841,24579,25596,25743,27394,59284,63314,62059,44458,51164,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Financial assets,Actifs financiers,Public sector pension assets,Actifs découlant des régimes de retraite du secteur public,,,,,,,1639,1900,2124,2406,4598,6320,9203,12996,20055,25722,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Non-financial assets,Actifs non financiers,Tangible capital assets,Immobilisations corporelles,,,,,,,65838,69676,73835,78942,83682,87583,92785,97337,104552,115091,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Non-financial assets,Actifs non financiers,Inventories,Stocks,,,,,,,7221,6842,6679,6601,6171,9764,9026,9405,8214,7933,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Non-financial assets,Actifs non financiers,Prepaid expenses and other,Charges payées d'avance et autre,,,,,,,1110,1196,1119,1131,1678,3732,2958,3002,3837,4078,x1000000
Consolidated Statement of Remeasurement Gains and Losses—detailed,État consolidé des gains et pertes de réévaluation – détaillé,Accumulated remeasurement gains—beginning of year,Gains de réévaluation accumulés au début de l'exercice,,,,,,,,,0,0,0,0,0,0,0,5758,10605,9343,x1000000
Consolidated Statement of Remeasurement Gains and Losses—detailed,État consolidé des gains et pertes de réévaluation – détaillé,Net unrealized gains (losses),Gains (pertes) nets non réalisés,Derivatives,Dérivés,,,,,,,0,0,0,0,0,0,0,3350,-1075,4995,x1000000
Consolidated Statement of Remeasurement Gains and Losses—detailed,État consolidé des gains et pertes de réévaluation – détaillé,Net unrealized gains (losses),Gains (pertes) nets non réalisés,"Other loans, investments and advances—Portfolio investments","Autres prêts, placements et avances – placements de portefeuille",,,,,,,0,0,0,0,0,0,0,-122,40,149,x1000000
Consolidated Statement of Remeasurement Gains and Losses—detailed,État consolidé des gains et pertes de réévaluation – détaillé,Amounts reclassified during the year to the Consolidated Statement of Operations and Accumulated Operating Deficit,Montants reclassés au cours de l'exercice à l'état consolidé des résultats et du déficit accumulé lié aux activités,Derivatives,Dérivés,,,,,,,0,0,0,0,0,0,0,-12,-8,0,x1000000
Consolidated Statement of Remeasurement Gains and Losses—detailed,État consolidé des gains et pertes de réévaluation – détaillé,Amounts reclassified during the year to the Consolidated Statement of Operations and Accumulated Operating Deficit,Montants reclassés au cours de l'exercice à l'état consolidé des résultats et du déficit accumulé lié aux activités,"Other loans, investments and advances—Portfolio investments","Autres prêts, placements et avances – placements de portefeuille",,,,,,,0,0,0,0,0,0,0,3,2,-49,x1000000
Consolidated Statement of Remeasurement Gains and Losses—detailed,État consolidé des gains et pertes de réévaluation – détaillé,Other comprehensive income (loss) of enterprise Crown corporations,Autres éléments du résultat global des sociétés d'État entreprises,Net change in unrealized gains (losses) on financial instruments measured at fair value through other comprehensive income,Variation nette des gains (pertes) non réalisés sur les instruments financiers évalués à la juste valeur par le biais des autres éléments du résultat global,,,,,,,0,0,0,0,0,0,0,-51,146,401,x1000000
Consolidated Statement of Remeasurement Gains and Losses—detailed,État consolidé des gains et pertes de réévaluation – détaillé,Other comprehensive income (loss) of enterprise Crown corporations,Autres éléments du résultat global des sociétés d'État entreprises,Net change in fair value of derivatives designated as hedges,Variation nette de la juste valeur des dérivés désignés comme couvertures,,,,,,,0,0,0,0,0,0,0,48,0,-1,x1000000
Consolidated Statement of Remeasurement Gains and Losses—detailed,État consolidé des gains et pertes de réévaluation – détaillé,Other comprehensive income (loss) of enterprise Crown corporations,Autres éléments du résultat global des sociétés d'État entreprises,Actuarial gains (losses) on pensions and other employee future benefits,Gains (pertes) actuariels sur les régimes de retraite et autres avantages futurs des employés,,,,,,,0,0,0,0,0,0,0,1631,-367,520,x1000000
Consolidated Statement of Change in Net Debt—detailed,État consolidé de la variation de la dette nette – détaillé,Net debt at beginning of year—as previously reported,Dette nette au début de l’exercice - telle qu’établie antérieurement,,,,,,,,,-686959,-693751,-714457,-752887,-772124,-812891,-1149825,-1247307,-1282757,-1352754,x1000000
Consolidated Statement of Change in Net Debt—detailed,État consolidé de la variation de la dette nette – détaillé,Accounting changes and restatement,Changements comptables et redressement,Public sector pensions,Régimes de retraite du secteur public,,,,,,,-16580,-18454,-19641,0,0,0,0,0,0,0,x1000000
Consolidated Statement of Change in Net Debt—detailed,État consolidé de la variation de la dette nette – détaillé,Accounting changes and restatement,Changements comptables et redressement,Change in revenue recognition criteria,Changement à la comptabilisation des revenus,,,,,,,2826,3596,4844,0,0,0,0,0,0,0,x1000000
Consolidated Statement of Change in Net Debt—detailed,État consolidé de la variation de la dette nette – détaillé,Accounting changes and restatement,Changements comptables et redressement,Asset retirement obligations,Obligations liées à la mise hors service d'immobilisations,,,,,,,0,0,0,0,0,0,-6328,0,0,0,x1000000
Consolidated Statement of Change in Net Debt—detailed,État consolidé de la variation de la dette nette – détaillé,Annual operating deficit,Déficit lié aux activités annuel,,,,,,,,,-2861,-18957,-18961,-13964,-39392,-327729,-90315,-35322,-61876,-36348,x1000000
Consolidated Statement of Change in Net Debt—detailed,État consolidé de la variation de la dette nette – détaillé,Change due to tangible capital assets,Variation due aux immobilisations corporelles,Acquisition of tangible capital assets,Acquisitions d'immobilisations corporelles,,,,,,,-8015,-8547,-9793,-11134,-10286,-10127,-9588,-10703,-13585,-16808,x1000000
Consolidated Statement of Change in Net Debt—detailed,État consolidé de la variation de la dette nette – détaillé,Change due to tangible capital assets,Variation due aux immobilisations corporelles,Amortization of tangible capital assets,Amortissement des immobilisations corporelles,,,,,,,5049,5168,5261,5643,5790,5969,5514,5644,5633,6044,x1000000
